name,math_grade,math_credits,physics_grade,physics_credits,chemistry_grades,chemistry_credits,psychology_grades,psychology_credits,history_grades,history_credits
Alice,89,6,72,6,83,3,91,5,85,3
Bob,17,6,67,6,86,3,46,5,34,3
Charlie,85,6,46,6,29,3,76,5,64,3
Danny,64,6,97,6,98,3,51,5,34,3
Emma,95,6,76,6,46,3,51,5,53,3
Frank,85,6,75,6,59,3,67,5,49,3
George,48,6,94,6,76,3,94,5,53,3
Harry,84,6,48,6,25,3,57,5,55,3
Ivan,84,6,100,6,98,3,99,5,94,3
Jack,64,6,45,6,84,3,67,5,54,3
Kate,85,6,65,6,45,3,84,5,94,3
Larry,84,6,51,6,52,3,58,5,97,3
Monica,67,6,55,6,76,3,84,5,77,3
Nancy,90,6,88,6,94,3,99,5,89,3
Oscar,84,6,19,6,73,3,29,5,81,3
Penny,38,6,57,6,80,3,98,5,86,3
Quentin,100,6,100,6,100,3,100,5,100,3
Robert,94,6,89,6,83,3,48,5,20,3
Sam,96,6,93,6,92,3,87,5,82,3
Tommy,79,6,78,6,74,3,71,5,69,3
Uriel,68,6,66,6,63,3,62,5,61,3
Vanessa,60,6,56,6,50,3,47,5,44,3
William,43,6,42,6,41,3,40,5,39,3
Xenophelius,37,6,36,6,35,3,33,5,32,3
Yossi,31,6,30,6,28,3,27,5,26,3
